epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,372.698,0.59171,0.0829,0.03423,0.43891,0.88339,0.85172,0.8098,0.86176,0.65648,0.09239,0.07767,0.08507,0.08076,0.94626,0.36511,0.07351,0.75881,1.02809,0.000134375,0.000134375,0.000134375
84,377.015,0.60169,0.09324,0.03032,0.42131,0.88938,0.84659,0.8034,0.85883,0.65816,0.08851,0.0788,0.08475,0.08044,0.94135,0.36144,0.07141,0.74871,1.02804,0.000127306,0.000127306,0.000127306
85,381.351,0.57252,0.10007,0.03151,0.40298,0.86698,0.85875,0.78598,0.83819,0.66143,0.08951,0.0784,0.08524,0.08055,0.9154,0.35396,0.0691,0.74007,1.02426,0.000120238,0.000120238,0.000120238
86,385.521,0.55473,0.08569,0.03138,0.40712,0.88554,0.86005,0.78155,0.83446,0.65556,0.09106,0.07741,0.08475,0.07979,0.90345,0.35382,0.0677,0.74711,1.02292,0.000113169,0.000113169,0.000113169
87,389.705,0.553,0.07584,0.03308,0.3984,0.87937,0.85974,0.77407,0.83833,0.65812,0.09066,0.07764,0.08489,0.0804,0.92262,0.35074,0.0663,0.75927,1.02743,0.0001061,0.0001061,0.0001061
88,393.963,0.62333,0.10162,0.04426,0.42598,0.89559,0.86548,0.79039,0.85567,0.66279,0.0898,0.07746,0.08565,0.08026,0.92879,0.3609,0.06641,0.76889,1.02664,9.90318e-05,9.90318e-05,9.90318e-05
89,398.144,0.56754,0.08823,0.03231,0.40221,0.87716,0.86205,0.79353,0.85175,0.65939,0.08999,0.0772,0.0855,0.08076,0.90191,0.36801,0.06671,0.7608,1.02137,9.19632e-05,9.19632e-05,9.19632e-05
90,402.368,0.57092,0.08122,0.0286,0.39233,0.88309,0.86627,0.77758,0.837,0.64931,0.09056,0.0768,0.08563,0.08074,0.89126,0.36421,0.0652,0.76164,1.02051,8.48946e-05,8.48946e-05,8.48946e-05
91,436.302,0.53743,0.06592,0.01171,0.37933,0.86777,0.86789,0.77606,0.83513,0.64942,0.0906,0.0756,0.08513,0.0802,0.88946,0.36669,0.06403,0.75906,1.02442,7.7826e-05,7.7826e-05,7.7826e-05
92,441.084,0.55482,0.06942,0.01142,0.37425,0.85416,0.85868,0.77796,0.84073,0.65132,0.0888,0.076,0.08406,0.07978,0.88898,0.3647,0.0633,0.75291,1.02435,7.07574e-05,7.07574e-05,7.07574e-05
93,445.289,0.53044,0.07063,0.01342,0.37152,0.87896,0.82991,0.81284,0.84744,0.65194,0.09251,0.07414,0.08471,0.08044,0.89791,0.36418,0.06241,0.76526,1.02697,6.36888e-05,6.36888e-05,6.36888e-05
94,449.63,0.49307,0.0639,0.00973,0.34288,0.85701,0.84383,0.80846,0.84897,0.65619,0.09173,0.076,0.08532,0.08067,0.9088,0.37374,0.06179,0.76728,1.03096,5.66202e-05,5.66202e-05,5.66202e-05
95,453.792,0.51093,0.06081,0.01354,0.36501,0.85127,0.83916,0.81772,0.85217,0.65369,0.09047,0.0756,0.08428,0.08017,0.91863,0.36687,0.06177,0.76915,1.03717,4.95516e-05,4.95516e-05,4.95516e-05
96,457.98,0.48915,0.0557,0.00994,0.3494,0.85073,0.83404,0.81964,0.85389,0.65388,0.09078,0.0768,0.08442,0.0805,0.91234,0.35986,0.06287,0.77018,1.03834,4.2483e-05,4.2483e-05,4.2483e-05
97,462.17,0.50217,0.05639,0.01031,0.34837,0.86274,0.84948,0.80402,0.85061,0.65078,0.08947,0.076,0.08434,0.08064,0.89456,0.35871,0.06248,0.7666,1.03388,3.54144e-05,3.54144e-05,3.54144e-05
98,466.262,0.51188,0.09631,0.0071,0.34746,0.85377,0.82122,0.80573,0.84142,0.65339,0.08958,0.0776,0.08427,0.08064,0.89215,0.3666,0.06268,0.76541,1.03277,2.83458e-05,2.83458e-05,2.83458e-05
99,470.511,0.52072,0.05965,0.00979,0.35806,0.84806,0.83338,0.79507,0.83966,0.65123,0.0903,0.0772,0.08437,0.08065,0.89893,0.36337,0.06164,0.76808,1.03481,2.12772e-05,2.12772e-05,2.12772e-05
100,474.797,0.45757,0.0497,0.0077,0.32615,0.85115,0.83264,0.79589,0.83935,0.6492,0.09013,0.07672,0.08398,0.08046,0.90225,0.3693,0.06229,0.76789,1.03366,1.42086e-05,1.42086e-05,1.42086e-05
